epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3636.74,1.38198,0.63852,1.32037,0.84275,0.79104,0.7704,0.2263,0.33848,1.96871,1.11677,2.10096,0.00197532,0.00197532,0.00197532
109,3831.13,1.37713,0.64659,1.31459,0.84656,0.79372,0.77653,0.22973,0.33981,1.96831,1.11769,2.10262,0.00189475,0.00189475,0.00189475
110,4025.8,1.37846,0.64455,1.32127,0.84594,0.79151,0.77075,0.2274,0.33737,1.96862,1.11841,2.10466,0.00181557,0.00181557,0.00181557
111,4220.6,1.38269,0.64403,1.32287,0.84404,0.79231,0.77242,0.22993,0.33722,1.96894,1.11999,2.1065,0.0017378,0.0017378,0.0017378
112,4415.47,1.36802,0.63458,1.31522,0.84428,0.7927,0.77211,0.23043,0.33637,1.96816,1.12189,2.10652,0.00166149,0.00166149,0.00166149
113,4610.89,1.36828,0.63282,1.31438,0.84273,0.79373,0.77347,0.22899,0.33634,1.96974,1.1205,2.10813,0.00158667,0.00158667,0.00158667
114,4806.32,1.36285,0.62839,1.31442,0.8433,0.79244,0.77559,0.23115,0.33911,1.96827,1.12317,2.10646,0.00151336,0.00151336,0.00151336
115,5001.32,1.35895,0.6288,1.30981,0.84384,0.79431,0.77552,0.2332,0.33931,1.9684,1.12404,2.10754,0.00144161,0.00144161,0.00144161
116,5196.52,1.35508,0.62803,1.30454,0.83999,0.79463,0.77627,0.23595,0.34027,1.96905,1.12616,2.11085,0.00137143,0.00137143,0.00137143
117,5391.99,1.35327,0.62117,1.30642,0.83936,0.79426,0.7764,0.23267,0.34052,1.97128,1.12818,2.11287,0.00130287,0.00130287,0.00130287
118,5587.16,1.36196,0.62852,1.31364,0.83667,0.79431,0.77338,0.2301,0.33971,1.97245,1.12849,2.1143,0.00123596,0.00123596,0.00123596
119,5782.47,1.35269,0.62522,1.30756,0.83782,0.795,0.77496,0.23169,0.33947,1.97193,1.12952,2.11494,0.00117072,0.00117072,0.00117072
120,5978.12,1.34537,0.62408,1.30591,0.83711,0.79714,0.77659,0.23021,0.34075,1.97128,1.13071,2.11518,0.00110718,0.00110718,0.00110718
121,6173.36,1.34447,0.61713,1.2985,0.83687,0.79653,0.77611,0.22933,0.34034,1.97208,1.13095,2.11778,0.00104537,0.00104537,0.00104537
122,6368.57,1.3464,0.61277,1.29997,0.83856,0.79709,0.7774,0.22763,0.34148,1.97442,1.13089,2.12004,0.000985311,0.000985311,0.000985311
123,6563.64,1.33581,0.61779,1.29424,0.84326,0.79545,0.7772,0.22579,0.34136,1.97473,1.12986,2.12148,0.00092704,0.00092704,0.00092704
124,6758.93,1.33925,0.61298,1.29971,0.84407,0.79566,0.77705,0.22499,0.34082,1.97547,1.12925,2.12391,0.000870577,0.000870577,0.000870577
125,6954.41,1.33044,0.60875,1.28951,0.84455,0.79536,0.77666,0.2268,0.34108,1.97641,1.1297,2.12583,0.000815947,0.000815947,0.000815947
126,7149.68,1.33142,0.6139,1.29175,0.84206,0.79699,0.77755,0.23031,0.34193,1.97752,1.12965,2.12852,0.000763174,0.000763174,0.000763174
127,7344.83,1.32469,0.60338,1.29043,0.8447,0.79615,0.77722,0.22775,0.34134,1.97701,1.13079,2.12998,0.000712282,0.000712282,0.000712282
128,7540.19,1.32965,0.60602,1.29112,0.84125,0.7957,0.77528,0.22784,0.3413,1.97688,1.12971,2.13181,0.000663292,0.000663292,0.000663292
129,7735.17,1.32015,0.60362,1.28781,0.84361,0.79636,0.77701,0.22814,0.34201,1.9768,1.12971,2.13284,0.000616227,0.000616227,0.000616227
130,7930.05,1.32432,0.6073,1.29043,0.84374,0.79624,0.77671,0.22631,0.3407,1.97655,1.1294,2.13304,0.000571106,0.000571106,0.000571106
131,8125.25,1.32154,0.60826,1.29109,0.84535,0.79616,0.77725,0.22778,0.3412,1.97634,1.12877,2.13404,0.00052795,0.00052795,0.00052795
132,8320.36,1.31749,0.60093,1.28591,0.84852,0.79596,0.77891,0.22735,0.34392,1.97581,1.12827,2.13413,0.000486777,0.000486777,0.000486777
133,8515.59,1.31994,0.59932,1.28023,0.8476,0.79523,0.77739,0.22637,0.34398,1.9743,1.12916,2.13396,0.000447606,0.000447606,0.000447606
134,8741.35,1.30866,0.59877,1.28071,0.84946,0.79598,0.7792,0.22794,0.34485,1.9741,1.12858,2.13435,0.000410454,0.000410454,0.000410454
135,8947.19,1.30944,0.59844,1.28674,0.84986,0.79597,0.77963,0.22779,0.34498,1.97364,1.1291,2.13547,0.000375337,0.000375337,0.000375337
136,9142.56,1.31253,0.60117,1.28234,0.849,0.79591,0.7795,0.22912,0.34428,1.97306,1.1272,2.13532,0.00034227,0.00034227,0.00034227
137,9337.71,1.30914,0.60237,1.2834,0.8477,0.79637,0.7799,0.22915,0.34409,1.9742,1.12725,2.13772,0.000311268,0.000311268,0.000311268
138,9532.54,1.30266,0.59106,1.28032,0.84842,0.79614,0.77983,0.22589,0.34424,1.97451,1.12666,2.13846,0.000282345,0.000282345,0.000282345
139,9727.36,1.30776,0.59242,1.27815,0.84835,0.79631,0.77971,0.22459,0.34398,1.97357,1.12746,2.13808,0.000255513,0.000255513,0.000255513
140,9922.18,1.30727,0.59762,1.28061,0.84889,0.79635,0.7795,0.22493,0.344,1.97301,1.12741,2.13874,0.000230784,0.000230784,0.000230784
141,10180.8,1.30179,0.56601,1.37157,0.86506,0.81151,0.8049,0.22582,0.34495,1.97352,1.12987,2.14024,0.000208169,0.000208169,0.000208169
142,223.569,1.30693,0.59835,1.28071,0.86757,0.81383,0.80769,0.22676,0.34677,1.97299,1.12967,2.13959,0.000187678,0.000187678,0.000187678
143,249.396,1.30487,0.59797,1.27989,0.86481,0.81193,0.80546,0.22487,0.3465,1.97299,1.12964,2.13938,0.00016932,0.00016932,0.00016932
144,460.975,1.29796,0.59483,1.28426,0.86668,0.81258,0.80654,0.22443,0.34628,1.97269,1.12829,2.13947,0.000153102,0.000153102,0.000153102
145,356.759,1.30591,0.59796,1.28022,0.86668,0.8126,0.80651,0.22428,0.3462,1.9728,1.12886,2.13951,0.000139032,0.000139032,0.000139032
146,755.477,1.3148,0.57072,1.38343,0.8665,0.81358,0.80764,0.22625,0.34583,1.97361,1.1298,2.14067,0.000127117,0.000127117,0.000127117
147,1079.02,1.30181,0.56441,1.36816,0.865,0.81277,0.80699,0.22688,0.34615,1.97487,1.13157,2.14183,0.00011736,0.00011736,0.00011736
148,1327.13,1.29998,0.56696,1.37121,0.86541,0.81217,0.8056,0.22382,0.34532,1.97661,1.13418,2.14369,0.000109768,0.000109768,0.000109768
149,1518.3,1.29582,0.56148,1.36224,0.86625,0.81375,0.80739,0.22302,0.34515,1.97696,1.13348,2.14388,0.000104342,0.000104342,0.000104342
150,1710.51,1.29253,0.56045,1.36354,0.86592,0.81322,0.80746,0.22561,0.34513,1.97766,1.13387,2.14435,0.000101086,0.000101086,0.000101086
