epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,8828.18,1.38137,0.63949,1.32343,0.83895,0.79729,0.7787,0.26725,0.34488,1.92227,1.14847,2.0839,0.00151336,0.00151336,0.00151336
115,326.658,1.38466,0.65431,1.47363,0.83156,0.79082,0.77037,0.23017,0.33654,1.95185,1.16998,2.38439,0.00144161,0.00144161,0.00144161
116,223.909,1.35875,0.6345,1.31024,0.83704,0.79526,0.77561,0.26075,0.34466,1.92361,1.14757,2.08576,0.00137143,0.00137143,0.00137143
117,445.275,1.35988,0.63358,1.31848,0.83817,0.79539,0.77705,0.26452,0.34685,1.92374,1.14766,2.08657,0.00130287,0.00130287,0.00130287
118,666.148,1.36369,0.6325,1.31645,0.83862,0.796,0.77675,0.26208,0.34517,1.92421,1.14986,2.08884,0.00123596,0.00123596,0.00123596
119,887.955,1.35428,0.62819,1.3098,0.83769,0.79532,0.77533,0.25777,0.3444,1.9243,1.1512,2.09034,0.00117072,0.00117072,0.00117072
120,1110.61,1.35892,0.63299,1.30725,0.8371,0.79554,0.77566,0.25831,0.34405,1.92423,1.15269,2.09063,0.00110718,0.00110718,0.00110718
121,1337.09,1.35503,0.6283,1.30769,0.83706,0.79614,0.77655,0.2558,0.34433,1.92382,1.15057,2.09127,0.00104537,0.00104537,0.00104537
122,1558.41,1.36158,0.6309,1.31333,0.83604,0.79689,0.77624,0.25527,0.34252,1.9238,1.15116,2.0926,0.000985311,0.000985311,0.000985311
123,1777.26,1.35188,0.62747,1.30091,0.83346,0.79716,0.77494,0.25482,0.3416,1.9244,1.15057,2.09386,0.00092704,0.00092704,0.00092704
124,1990.59,1.35112,0.62027,1.30847,0.83347,0.79727,0.77477,0.25632,0.34225,1.92451,1.15173,2.09499,0.000870577,0.000870577,0.000870577
125,2218.56,1.35351,0.62269,1.30857,0.83447,0.7972,0.77472,0.25751,0.3425,1.92492,1.1527,2.09637,0.000815947,0.000815947,0.000815947
126,2448.41,1.35515,0.62619,1.31221,0.83564,0.79602,0.77282,0.25857,0.3415,1.92482,1.15439,2.09644,0.000763174,0.000763174,0.000763174
127,2680.37,1.34298,0.6183,1.29898,0.8358,0.79624,0.77236,0.25647,0.3404,1.92482,1.15451,2.09786,0.000712282,0.000712282,0.000712282
128,2911.01,1.34839,0.61998,1.30081,0.83611,0.79581,0.77225,0.25637,0.33987,1.92522,1.15451,2.09904,0.000663292,0.000663292,0.000663292
129,3139.44,1.33757,0.6169,1.30157,0.83559,0.79436,0.77164,0.25688,0.34035,1.92491,1.15326,2.09989,0.000616227,0.000616227,0.000616227
130,3369.9,1.33664,0.61599,1.29316,0.8366,0.79496,0.77312,0.25828,0.34079,1.92554,1.15341,2.10111,0.000571106,0.000571106,0.000571106
131,3604.2,1.32937,0.61226,1.29968,0.83716,0.79496,0.7743,0.26281,0.34172,1.92576,1.15293,2.10193,0.00052795,0.00052795,0.00052795
132,3834.38,1.32912,0.61406,1.28835,0.83621,0.795,0.77308,0.26162,0.3413,1.92629,1.15195,2.10367,0.000486777,0.000486777,0.000486777
133,4063.08,1.32798,0.6087,1.29114,0.83924,0.79568,0.77336,0.26191,0.34121,1.9261,1.15196,2.10428,0.000447606,0.000447606,0.000447606
134,4269.81,1.3259,0.61223,1.28678,0.83782,0.7973,0.77348,0.26346,0.34165,1.92549,1.15312,2.10441,0.000410454,0.000410454,0.000410454
135,227.051,1.31507,0.60996,1.28708,0.83765,0.79762,0.7735,0.26371,0.34198,1.92586,1.15424,2.10482,0.000375337,0.000375337,0.000375337
136,457.635,1.31376,0.60586,1.29264,0.83872,0.79798,0.77441,0.26025,0.34141,1.92599,1.15361,2.10596,0.00034227,0.00034227,0.00034227
137,688.226,1.3171,0.60691,1.29132,0.84009,0.79607,0.77461,0.26038,0.3413,1.92644,1.15473,2.10704,0.000311268,0.000311268,0.000311268
138,919.548,1.31355,0.6049,1.28708,0.84003,0.79679,0.77462,0.25939,0.34052,1.9265,1.15541,2.10727,0.000282345,0.000282345,0.000282345
139,1148.59,1.31864,0.61088,1.28575,0.84035,0.79635,0.77441,0.25687,0.34079,1.92712,1.15587,2.10845,0.000255513,0.000255513,0.000255513
140,1375.36,1.31886,0.60698,1.28832,0.83956,0.7961,0.77365,0.25851,0.34096,1.92664,1.15641,2.10877,0.000230784,0.000230784,0.000230784
141,1616.32,1.34084,0.58716,1.39405,0.83907,0.7948,0.77198,0.25818,0.34002,1.92691,1.15557,2.10952,0.000208169,0.000208169,0.000208169
142,1841.57,1.33348,0.57405,1.39759,0.84021,0.7957,0.77425,0.25858,0.34029,1.92717,1.15631,2.11027,0.000187678,0.000187678,0.000187678
143,2067.13,1.32786,0.57622,1.38632,0.83863,0.79553,0.77235,0.25974,0.33967,1.9277,1.159,2.11144,0.00016932,0.00016932,0.00016932
144,2293.49,1.32167,0.57522,1.38675,0.83884,0.79585,0.77218,0.26005,0.33928,1.92774,1.15899,2.11176,0.000153102,0.000153102,0.000153102
145,2520.43,1.31756,0.57192,1.38088,0.83894,0.79586,0.77229,0.25938,0.33927,1.92726,1.15869,2.11111,0.000139032,0.000139032,0.000139032
146,2745.26,1.31444,0.56992,1.38178,0.84031,0.79667,0.77437,0.25948,0.3397,1.92718,1.1584,2.11129,0.000127117,0.000127117,0.000127117
147,2971.07,1.31874,0.57005,1.3829,0.83471,0.79688,0.77217,0.25969,0.33961,1.9279,1.15907,2.1123,0.00011736,0.00011736,0.00011736
148,3196.11,1.31378,0.56696,1.3821,0.83542,0.79749,0.77299,0.25928,0.3397,1.92837,1.15986,2.11311,0.000109768,0.000109768,0.000109768
149,3420.66,1.30996,0.56547,1.37588,0.83577,0.79836,0.77466,0.25743,0.33919,1.92818,1.1593,2.11357,0.000104342,0.000104342,0.000104342
150,3647.01,1.3131,0.57067,1.37919,0.83428,0.79778,0.7724,0.25683,0.3389,1.92879,1.15951,2.11463,0.000101086,0.000101086,0.000101086
